GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	NDUFV2	SCZ	NDUFV2	Wald ratio	1	0.108899852	0.043909495	1.31E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ECE2	SCZ	ECE2	Wald ratio	1	0.034470315	0.013916285	1.33E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	VEZT	SCZ	VEZT	Inverse variance weighted	2	-0.095347039	0.038495594	1.33E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CNST	SCZ	CNST	Wald ratio	1	-0.121718404	0.049156059	1.33E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SEPTIN2	SCZ	SEPTIN2	Wald ratio	1	0.029012839	0.011720207	1.33E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DNAAF5	SCZ	DNAAF5	Wald ratio	1	0.079840001	0.032304783	1.35E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	EIF3B	SCZ	EIF3B	Wald ratio	1	0.063382877	0.025651534	1.35E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	LSAMP	LSAMP	SCZ	Wald ratio	1	1.632225892	0.660721456	1.35E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	VTI1B	SCZ	VTI1B	Wald ratio	1	0.08584452	0.034773891	1.36E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GFRA4	SCZ	GFRA4	Wald ratio	1	0.051769171	0.020971647	1.36E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	BAZ2B	SCZ	BAZ2B	Inverse variance weighted	2	-0.110674236	0.04484724	1.36E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ANO5	SCZ	ANO5	Wald ratio	1	-0.045458386	0.018420626	1.36E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	DEPDC1B	SCZ	DEPDC1B	Wald ratio	1	-0.1132408	0.04592864	1.37E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ALG14	SCZ	ALG14	Wald ratio	1	-0.076073347	0.030854121	1.37E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GCHFR	GCHFR	SCZ	Wald ratio	1	-1.18281379	0.479731446	1.37E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	CMTM1	SCZ	CMTM1	Wald ratio	1	0.109472771	0.044404672	1.37E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	VRK2	VRK2	SCZ	Wald ratio	1	-1.320848921	0.536302158	1.38E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	KLHL9	SCZ	KLHL9	Wald ratio	1	-0.063065489	0.025619466	1.38E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	RPL26L1	SCZ	RPL26L1	Wald ratio	1	-0.100451574	0.040807541	1.38E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GOT2	GOT2	SCZ	Wald ratio	1	-1.406473029	0.571431535	1.38E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	COX5A	SCZ	COX5A	Wald ratio	1	0.116910921	0.047516083	1.39E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GPR85	SCZ	GPR85	Wald ratio	1	-0.106990879	0.043548028	1.40E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	UBE2Q2P16	SCZ	UBE2Q2P16	Wald ratio	1	0.12630385	0.05145236	1.41E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	YPEL4	YPEL4	SCZ	Wald ratio	1	-1.350189394	0.550246212	1.41E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	PIP4P2	SCZ	PIP4P2	Wald ratio	1	-0.118873645	0.048446467	1.41E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GMCL1	SCZ	GMCL1	Wald ratio	1	-0.03918208	0.015969191	1.41E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SFXN4	SCZ	SFXN4	Wald ratio	1	0.025469719	0.010380531	1.41E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	OTULINL	SCZ	OTULINL	Wald ratio	1	-0.126173559	0.051448829	1.42E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	RANBP2	SCZ	RANBP2	Wald ratio	1	0.104978337	0.042822597	1.42E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PTTG2	SCZ	PTTG2	Wald ratio	1	0.085322926	0.034817876	1.43E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ARL15	SCZ	ARL15	Wald ratio	1	0.114956716	0.046919383	1.43E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ACVR2B	SCZ	ACVR2B	Wald ratio	1	0.077249733	0.031549745	1.43E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	GRIA1	GRIA1	SCZ	Wald ratio	1	1.137008671	0.464407514	1.44E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	SPATA31F1	SCZ	SPATA31F1	Wald ratio	1	0.08116481	0.033167379	1.44E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	HSPA2	SCZ	HSPA2	Wald ratio	1	-0.132534814	0.054163717	1.44E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MRPL58	SCZ	MRPL58	Wald ratio	1	-0.100399797	0.041050537	1.45E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
